Volume of exports of major arms by the top 100 largest suppliers  1981-2000;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 27 Feb 2026 10:33:50 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main recipients (share of exporters total %) 1981-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1981-2000,Rank 1961-1980,Supplier,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,1981-2000, Share of global arms imports,1961-1980 Total, Percentage change from 1961-1980 to 1981-2000,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,3,France,3689,3793,3408,2902,3993,2963,1745,1957,2265,1787,1158,1241,967,852,965,1837,3172,3085,1680,963,44421,6.9%,41572,6.9%,Iraq (11),Saudi Arabia (9.6),Taiwan (9.2),UAE (5.8),India (5.1),Spain (5.0),China (3.9),Qatar (3.5),Egypt (3.5),Greece (3.0),Pakistan (2.8),United States (1.9),Kuwait (1.9),Turkiye (1.9),Brazil (1.9),Morocco (1.9),Jordan (1.8),Chile (1.7),Peru (1.6),Libya (1.5),Finland (1.3),Romania (1.3),Venezuela (1.3),Argentina (1.2),Nigeria (1.1),Singapore (1.1),South Korea (0.9),Ecuador (0.8),Thailand (0.7),Cyprus (0.7),Tunisia (0.6),Australia (0.6),United Kingdom (0.6),Oman (0.6),Indonesia (0.5),Japan (0.4),Italy (0.4),Norway (0.4),Netherlands (0.3),Austria (0.3),Uruguay (0.3),Sweden (0.3),Gabon (0.3),Denmark (0.3),Switzerland (0.3),Iran (0.3),Belgium (0.3),Lebanon (0.3),Yugoslavia (0.3),Cameroon (0.3),Mexico (0.3),Canada (0.3),Germany (0.2),South Africa (0.2),Colombia (0.2),Kenya (0.2),Malaysia (0.2),Bahrain (0.1),DR Congo (0.1),Senegal (0.1),Chad (0.1),Angola (0.1),Niger (0.1),Portugal (0.1),Cote d'Ivoire (0.1),Togo (0.1),Rwanda (0.1),Ireland (0.1),Mauritania (0.1),Israel (0.1),Bolivia (0.0),Djibouti (0.0),Botswana (0.0),Hungary (0.0),Burundi (0.0),New Zealand (0.0),Sudan (0.0),Brunei (0.0),Algeria (0.0),Syria (0.0),Burkina Faso (0.0),Congo (0.0),Madagascar (0.0),Central African Republic (0.0),Malawi (0.0),Benin (0.0),Zimbabwe (0.0),Philippines (0.0),Jamaica (0.0),Ghana (0.0),Bangladesh (0.0),Yemen (0.0),Fiji (0.0),Sri Lanka (0.0),Sierra Leone (0.0),Estonia (0.0),Cambodia (0.0),Guinea (0.0),Nepal (0.0),Nicaragua (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,France N,3680,3768,3348,2882,3969,2952,1733,1913,2185,1735,1073,1238,967,780,936,1806,3111,2900,1475,904,43356,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,France S,9,25,38,19,24,8,5,4,36,36,85,3,,71,28,31,45,24,75,,566,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,France R,,,21,1,,3,7,40,44,16,,,,,,,16,161,130,59,499,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,4,United Kingdom,2365,2514,2595,2567,2142,1985,3603,2528,3504,1845,1525,1093,1382,1527,1458,1613,2361,1400,1315,1623,40945,6.3%,36567,12%,United States (21),Saudi Arabia (12),India (11),Turkiye (3.5),Indonesia (3.3),Oman (3.2),Brazil (2.6),Switzerland (2.2),UAE (2.2),Japan (2.1),Pakistan (2.1),Malaysia (2.1),Jordan (2.0),Italy (1.8),Chile (1.8),South Korea (1.7),France (1.5),Canada (1.5),Finland (1.4),Nigeria (1.4),Kuwait (1.3),Australia (1.2),Egypt (1.2),Spain (1.0),Argentina (0.9),Germany (0.8),Qatar (0.8),Sweden (0.8),Kenya (0.8),Thailand (0.7),Singapore (0.7),Denmark (0.6),Netherlands (0.6),Norway (0.6),Yugoslavia (0.5),Iran (0.4),New Zealand (0.4),Romania (0.4),Algeria (0.4),Ecuador (0.4),South Africa (0.4),Zimbabwe (0.3),China (0.3),Brunei (0.3),Greece (0.3),Libya (0.3),Portugal (0.3),Bangladesh (0.2),Venezuela (0.2),Philippines (0.2),Iraq (0.2),Sri Lanka (0.1),Austria (0.1),Botswana (0.1),NATO** (0.1),Ireland (0.1),Bahamas (0.1),Peru (0.1),Malawi (0.1),Togo (0.0),Mauritania (0.0),Uruguay (0.0),Honduras (0.0),Bahrain (0.0),Cameroon (0.0),Ghana (0.0),Barbados (0.0),Burkina Faso (0.0),Mujahedin (Afghanistan)* (0.0),Trinidad and Tobago (0.0),Sudan (0.0),Taiwan (0.0),Mexico (0.0),Angola (0.0),Mauritius (0.0),Nepal (0.0),Tanzania (0.0),Cyprus (0.0),Gambia (0.0),Guyana (0.0),Eritrea (0.0),Myanmar (0.0),Suriname (0.0),Colombia (0.0),Belize (0.0),Sierra Leone (0.0),Malta (0.0),Burundi (0.0),Central African Republic (0.0),Haiti (0.0),Mali (0.0),Papua New Guinea (0.0),Paraguay (0.0),Syria (0.0),Uganda (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,United Kingdom N,2277,2009,2475,2437,1986,1779,3166,2401,3469,1778,1419,989,1165,1075,1067,1295,2027,1355,1296,1472,36936,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,United Kingdom S,88,247,37,130,10,134,141,127,35,66,107,75,216,451,355,283,334,35,20,114,3006,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,United Kingdom R,,257,84,,145,73,297,,,,,30,,,36,35,,9,,37,1003,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,5,Germany,1904,1519,2222,2938,1340,1364,924,1397,1273,1835,2418,1529,1559,2920,1552,1961,955,1847,1944,1677,35078,5.4%,19357,81%,Turkiye (17),Greece (9.7),Argentina (7.8),Netherlands (5.0),South Korea (4.9),Indonesia (4.3),India (4.0),Switzerland (3.7),Portugal (2.9),Sweden (2.7),Israel (2.6),Norway (2.4),Brazil (2.2),Nigeria (1.7),Colombia (1.7),UAE (1.5),Australia (1.5),Italy (1.5),New Zealand (1.4),Malaysia (1.4),Singapore (1.4),Chile (1.4),Japan (1.4),Taiwan (1.3),Peru (1.3),Kuwait (1.2),United States (1.1),Bahrain (1.0),Spain (0.9),Finland (0.8),Thailand (0.7),Poland (0.7),Denmark (0.7),Egypt (0.6),Libya (0.6),China (0.6),United Kingdom (0.5),South Africa (0.4),Iraq (0.4),Austria (0.3),Saudi Arabia (0.3),Canada (0.2),Pakistan (0.2),Hungary (0.2),Ecuador (0.1),United Nations** (0.1),unknown recipient(s) (0.1),Tunisia (0.1),Oman (0.1),Ghana (0.1),Uruguay (0.1),Estonia (0.1),Latvia (0.1),Mauritania (0.1),Mexico (0.1),Morocco (0.1),Qatar (0.1),Honduras (0.1),Lithuania (0.1),Malta (0.1),North Macedonia (0.1),NATO** (0.1),Venezuela (0.0),Cabo Verde (0.0),Algeria (0.0),Malawi (0.0),Philippines (0.0),Brunei (0.0),Guinea-Bissau (0.0),Yugoslavia (0.0),Niger (0.0),Cameroon (0.0),Georgia (0.0),Suriname (0.0),Benin (0.0),El Salvador (0.0),Eritrea (0.0),Kenya (0.0),Croatia (0.0),Costa Rica (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Germany N,1586,1365,2066,2778,1191,1320,924,1155,1253,1532,1871,1147,537,1284,902,1593,830,1706,1723,1378,28142,4.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
